"VIC_ESCOLARIDAD","VIC_EST_CIV","VIC_TRABAJA","AGR_TRABAJA","AGR_ESCOLARIDAD","AGR_EST_CIV"
45,3,1,2,45,3
24,2,1,1,26,3
21,3,1,2,10,3
39,1,2,1,29,3
10,2,2,2,26,3
22,2,2,2,26,3
10,3,2,1,26,3
10,3,2,2,10,3
22,3,2,2,23,3
22,3,2,1,22,3
23,3,2,1,24,3
23,3,2,2,23,3
24,3,2,1,26,3
29,3,2,1,29,3
31,3,2,1,26,3
32,3,2,2,26,3
99,3,2,2,99,3
33,3,1,2,22,3
26,3,1,2,26,3
26,3,1,2,26,3
33,3,1,2,33,3
33,3,1,2,26,3
26,3,1,1,46,3
26,3,1,2,10,3
29,9,2,2,10,5
99,5,1,9,99,5
99,5,9,9,99,5
26,1,2,2,24,5
25,5,2,1,33,5
25,5,2,1,26,5
49,5,1,2,39,5
29,1,2,2,99,9
99,2,2,9,99,9
29,9,2,2,29,9
29,9,2,1,29,9
55,2,1,2,49,9
99,9,1,9,99,9
49,9,1,2,10,9
99,1,1,1,99,9
31,9,2,2,33,9
26,9,2,1,33,9
25,9,2,1,31,9
44,9,2,1,26,9
33,9,1,1,26,9
99,1,9,9,99,9
24,9,2,1,10,9
44,9,2,1,26,9
10,2,2,2,10,9
26,2,2,2,46,9
10,3,2,2,39,9
29,3,2,1,29,9
10,9,2,2,10,9
10,9,2,1,10,9
21,9,2,1,21,9
23,9,2,1,26,9
26,9,2,2,31,9
26,9,2,1,23,9
26,9,2,1,26,9
29,9,2,1,10,9
31,9,2,1,44,9
33,9,2,1,33,9
33,9,2,1,33,9
33,9,2,2,33,9
33,9,2,1,33,9
33,9,2,1,23,9
46,9,2,2,46,9
49,9,2,2,29,9
59,9,2,2,39,9
59,9,2,1,33,9
99,9,2,1,10,9
99,9,2,1,26,9
49,9,1,9,49,9
26,9,1,2,33,9
49,9,1,2,39,9
49,9,1,2,29,9
26,9,1,2,26,9
29,9,1,2,39,9
29,9,1,9,99,9
59,9,1,2,33,9
33,9,1,1,10,9
29,1,1,1,29,9
32,9,1,1,33,9
10,2,1,9,99,9
10,9,1,2,10,9
39,9,1,2,29,9
99,9,1,1,29,9
29,9,1,2,29,9
49,9,1,9,49,9
10,9,1,1,29,9
29,9,1,9,99,9
39,9,1,2,99,9
99,9,9,9,99,9
31,9,1,9,25,9
33,9,2,1,33,9
46,9,2,2,46,9
49,9,2,1,39,9
33,9,1,2,21,9
26,9,2,1,26,9
26,9,2,1,26,9
26,9,2,1,99,9
29,9,2,2,29,9
29,9,2,1,39,9
29,9,2,1,29,9
29,9,2,1,49,9
32,9,2,2,33,9
33,9,2,1,45,9
45,9,2,1,23,9
29,9,1,1,29,9
23,9,1,1,46,9
31,9,1,2,10,9
33,9,1,2,33,9
26,9,1,2,10,9
33,2,2,1,31,1
10,9,1,2,39,1
49,1,1,2,59,1
29,2,9,9,29,1
